NAME                                       VERSION                               TYPE                        
@babel/runtime                             7.28.6                                npm                          
@borewit/text-codec                        0.2.2                                 npm                          
@colors/colors                             1.6.0                                 npm                          
@dabh/diagnostics                          2.0.8                                 npm                          
@hapi/address                              5.1.1                                 npm                          
@hapi/formula                              3.0.2                                 npm                          
@hapi/hoek                                 11.0.7                                npm                          
@hapi/pinpoint                             2.0.1                                 npm                          
@hapi/tlds                                 1.1.5                                 npm                          
@hapi/topo                                 6.0.2                                 npm                          
@isaacs/cliui                              8.0.2                                 npm                          
@jimp/core                                 1.6.0                                 npm                          
@jimp/diff                                 1.6.0                                 npm                          
@jimp/file-ops                             1.6.0                                 npm                          
@jimp/js-bmp                               1.6.0                                 npm                          
@jimp/js-gif                               1.6.0                                 npm                          
@jimp/js-jpeg                              1.6.0                                 npm                          
@jimp/js-png                               1.6.0                                 npm                          
@jimp/js-tiff                              1.6.0                                 npm                          
@jimp/plugin-blit                          1.6.0                                 npm                          
@jimp/plugin-blur                          1.6.0                                 npm                          
@jimp/plugin-circle                        1.6.0                                 npm                          
@jimp/plugin-color                         1.6.0                                 npm                          
@jimp/plugin-contain                       1.6.0                                 npm                          
@jimp/plugin-cover                         1.6.0                                 npm                          
@jimp/plugin-crop                          1.6.0                                 npm                          
@jimp/plugin-displace                      1.6.0                                 npm                          
@jimp/plugin-dither                        1.6.0                                 npm                          
@jimp/plugin-fisheye                       1.6.0                                 npm                          
@jimp/plugin-flip                          1.6.0                                 npm                          
@jimp/plugin-hash                          1.6.0                                 npm                          
@jimp/plugin-mask                          1.6.0                                 npm                          
@jimp/plugin-print                         1.6.0                                 npm                          
@jimp/plugin-quantize                      1.6.0                                 npm                          
@jimp/plugin-resize                        1.6.0                                 npm                          
@jimp/plugin-rotate                        1.6.0                                 npm                          
@jimp/plugin-threshold                     1.6.0                                 npm                          
@jimp/types                                1.6.0                                 npm                          
@jimp/utils                                1.6.0                                 npm                          
@pkgjs/parseargs                           0.11.0                                npm                          
@so-ric/colorspace                         1.1.6                                 npm                          
@standard-schema/spec                      1.1.0                                 npm                          
@tokenizer/inflate                         0.4.1                                 npm                          
@tokenizer/token                           0.3.0                                 npm                          
@types/node                                16.9.1                                npm                          
@types/triple-beam                         1.3.5                                 npm                          
@videojs/vhs-utils                         4.1.1                                 npm                          
Inflector                                  0.11.4                                rust-crate                   
Syncthing                                  1.15.1                                binary                       
abort-controller                           3.0.0                                 npm                          
accepts                                    2.0.0                                 npm                          
acl-libs                                   2.3.2-r1                              apk                          
ada-libs                                   3.3.0-r0                              apk                          
adler                                      1.0.2                                 rust-crate                   
adler2                                     2.0.0                                 rust-crate                   
aead                                       0.5.2                                 rust-crate                   
aead-gcm-stream                            0.4.0                                 rust-crate                   
aes                                        0.8.3                                 rust-crate                   
aes-gcm                                    0.10.3                                rust-crate                   
aes-kw                                     0.2.1                                 rust-crate                   
ahash                                      0.8.11                                rust-crate                   
aho-corasick                               1.1.3                                 rust-crate                   
aligned                                    0.4.2                                 rust-crate                   
aligned-vec                                0.6.4                                 rust-crate                   
alloc-no-stdlib                            2.0.4                                 rust-crate                   
alloc-stdlib                               0.2.2                                 rust-crate                   
allocator-api2                             0.2.21                                rust-crate                   
alpine-baselayout                          3.7.2-r0                              apk                          
alpine-baselayout-data                     3.7.2-r0                              apk                          
alpine-keys                                2.6-r0                                apk                          
alpine-release                             3.23.3-r0                             apk                          
alsa-lib                                   1.2.14-r2                             apk                          
ansi-regex                                 5.0.1                                 npm         (+3 duplicates)  
ansi-regex                                 6.2.2                                 npm                          
ansi-styles                                4.3.0                                 npm                          
ansi-styles                                6.2.3                                 npm                          
anstream                                   0.6.15                                rust-crate                   
anstream                                   0.6.19                                rust-crate                   
anstyle                                    1.0.11                                rust-crate                   
anstyle                                    1.0.8                                 rust-crate                   
anstyle-parse                              0.2.3                                 rust-crate                   
anstyle-parse                              0.2.7                                 rust-crate                   
anstyle-query                              1.0.2                                 rust-crate                   
anstyle-query                              1.1.3                                 rust-crate                   
any-base                                   1.1.0                                 npm                          
anyhow                                     1.0.95                                rust-crate                   
anyhow                                     1.0.98                                rust-crate  (+1 duplicate)   
aom-libs                                   3.13.1-r1                             apk                          
apk-tools                                  3.0.5-r0                              apk                          
arbitrary                                  1.4.1                                 rust-crate                   
archiver                                   7.0.1                                 npm                          
archiver-utils                             5.0.2                                 npm                          
arg_enum_proc_macro                        0.3.4                                 rust-crate                   
argparse                                   2.0.1                                 npm                          
arrayvec                                   0.7.4                                 rust-crate                   
arrayvec                                   0.7.6                                 rust-crate                   
as-slice                                   0.2.1                                 rust-crate                   
ascii                                      1.1.0                                 rust-crate                   
ash                                        0.38.0+1.3.281                        rust-crate                   
asn1-rs                                    0.5.2                                 rust-crate                   
asn1-rs-impl                               0.1.0                                 rust-crate                   
async                                      3.2.6                                 npm                          
async-compression                          0.4.11                                rust-crate                   
async-once-cell                            0.5.4                                 rust-crate                   
async-recursion                            1.1.1                                 rust-crate                   
async-stream                               0.3.5                                 rust-crate                   
async-trait                                0.1.88                                rust-crate                   
asynchronous-codec                         0.7.0                                 rust-crate                   
asynckit                                   0.4.0                                 npm                          
atomic-waker                               1.1.2                                 rust-crate                   
attr                                       2.5.2-r2                              apk                          
auto_impl                                  1.2.0                                 rust-crate                   
av-metrics                                 0.9.1                                 rust-crate                   
av-scenechange                             0.14.1                                rust-crate                   
av1-grain                                  0.2.4                                 rust-crate                   
await-to-js                                3.0.0                                 npm                          
axios                                      1.14.0                                npm                          
axum                                       0.7.5                                 rust-crate                   
axum-core                                  0.4.5                                 rust-crate                   
az                                         1.2.1                                 rust-crate                   
b4a                                        1.7.4                                 npm                          
balanced-match                             1.0.2                                 npm         (+1 duplicate)   
bare-events                                2.8.2                                 npm                          
base16ct                                   0.2.0                                 rust-crate                   
base32                                     0.5.1                                 rust-crate                   
base64                                     0.21.7                                rust-crate                   
base64                                     0.22.1                                rust-crate                   
base64-js                                  1.5.1                                 npm                          
base64-simd                                0.7.0                                 rust-crate                   
base64-simd                                0.8.0                                 rust-crate                   
base64ct                                   1.6.0                                 rust-crate                   
bash                                       5.3.3-r1                              apk                          
better_scoped_tls                          1.0.0                                 rust-crate                   
bincode                                    1.3.3                                 rust-crate                   
bit-set                                    0.8.0                                 rust-crate                   
